"long"	"lat"	"order"	"hole"	"piece"	"id"	"group"	"cod_dpto"	"dpto"	"mpio"
"50"	-74.19409943	4.67859983	120915	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"51"	-74.18769836	4.68659878	120916	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"52"	-74.18479919	4.68659878	120917	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"53"	-74.18019867	4.69010019	120918	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"54"	-74.17220306	4.6940999	120919	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"55"	-74.17220306	4.69810009	120920	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"56"	-74.17449951	4.70620012	120921	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"57"	-74.17220306	4.70849991	120922	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"58"	-74.16410065	4.71659994	120923	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"59"	-74.1548996	4.72110081	120924	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"60"	-74.14969635	4.73499918	120925	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"61"	-74.14679718	4.74069881	120926	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"62"	-74.13929749	4.75920105	120927	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"63"	-74.13300323	4.77130079	120928	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"64"	-74.12319946	4.77469921	120929	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"65"	-74.10939789	4.78039885	120930	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"66"	-74.10420227	4.78789997	120931	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"67"	-74.10359955	4.80120087	120932	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"68"	-74.09790039	4.8098979	120933	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"69"	-74.09609985	4.81500101	120934	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"70"	-74.08399963	4.81619978	120935	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"71"	-74.07080078	4.81610012	120936	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"72"	-74.06040192	4.8137002	120937	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"73"	-74.04889679	4.81019878	120938	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"74"	-74.03450012	4.79979897	120939	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"75"	-74.02290344	4.79510021	120940	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"76"	-74.02639771	4.7835989	120941	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"77"	-74.03040314	4.77720022	120942	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"78"	-74.03099823	4.76160097	120943	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"79"	-74.02690125	4.74889994	120944	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"80"	-74.02639771	4.73850012	120945	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"81"	-74.02400208	4.70900106	120946	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"82"	-74.0286026	4.69060183	120947	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"83"	-74.03269958	4.67329788	120948	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"84"	-74.02570343	4.65360022	120949	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"85"	-74.0326004	4.646101	120950	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"86"	-74.04360199	4.63060093	120951	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"87"	-74.03489685	4.63170004	120952	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"88"	-74.03320312	4.62069988	120953	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"89"	-74.03150177	4.6171999	120954	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"90"	-74.01589966	4.62759876	120955	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"91"	-74.01010132	4.62290001	120956	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"92"	-74.01239777	4.61429787	120957	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"93"	-74.01989746	4.60499907	120958	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"94"	-74.02510071	4.59240007	120959	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"95"	-74.02629852	4.58199787	120960	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"96"	-74.02629852	4.56409979	120961	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"97"	-74.02570343	4.55140114	120962	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"98"	-74.02970123	4.55309916	120963	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"99"	-74.03320312	4.54910088	120964	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"100"	-74.03489685	4.54730082	120965	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"101"	-74.03720093	4.54220009	120966	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"102"	-74.04350281	4.53639984	120967	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"103"	-74.04699707	4.53240013	120968	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"104"	-74.04869843	4.52829981	120969	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"105"	-74.04989624	4.52260017	120970	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"106"	-74.05269623	4.51570082	120971	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"107"	-74.05449677	4.50639915	120972	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"108"	-74.05619812	4.50010014	120973	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"109"	-74.05680084	4.49370003	120974	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"110"	-74.06369781	4.49090099	120975	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"111"	-74.07520294	4.48629999	120976	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"112"	-74.07579803	4.48049879	120977	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"113"	-74.07689667	4.47710085	120978	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
